Position,Annual Salary,Label
Asst Professor,145000.0,Asst Professor
Asst Professor,145000.0,Asst Professor
Assoc Professor - Clin Geo,144900.0,Assoc Professor
Professor,144654.09,Professor
Assoc Professor - Clin,144511.44,Assoc Professor
Professor,144402.98,Professor
Professor,144402.96,Professor
Asst Professor,144116.4,Asst Professor
Professor,143796.96,Professor
Assoc Professor,143547.48,Assoc Professor
Professor,143379.24,Professor
Professor - Educator,142881.6,Professor
Professor,142787.76,Professor
Professor - Educator,142554.48,Professor
Professor,142535.28,Professor
Professor,142119.48,Professor
Professor,142033.8,Professor
Professor,141819.6,Professor
Professor - Clin,141736.8,Professor
Professor,141223.44,Professor
Asst Professor,140996.76,Asst Professor
Professor,140684.4,Professor
Asst Professor - Field Svc,140617.2,Asst Professor
Asst VP Research Institutional Ethics,140454.0,Vice President
Asst VP Research Operations & Mgmt,140454.0,Vice President
Professor,140389.08,Professor
Professor,140265.24,Professor
Professor,140113.44,Professor
Assoc Professor,140089.2,Assoc Professor
Professor,140015.76,Professor
Professor,139790.91,Professor
Professor,139746.24,Professor
Asst VP UCIT,139740.0,Vice President
Professor,139297.8,Professor
Assoc Professor,139089.72,Assoc Professor
Assoc Dean,139058.76,Dean
Professor,138632.28,Professor
Professor,138610.32,Professor
Professor,138293.28,Professor
Professor - Educator,138252.0,Professor
Professor,138250.44,Professor
Assoc Professor,138155.88,Assoc Professor
Asst VP UCIT,138010.2,Vice President
Assoc Dean,137956.44,Dean
Professor,137644.68,Professor
Professor,137581.68,Professor
Professor,137555.77,Professor
Professor - Clin,137462.88,Professor
Professor,137425.8,Professor
Professor,137325.24,Professor
Professor,137116.08,Professor
Professor - Geo,136836.0,Professor
Professor - Clin Geo,136769.76,Professor
Professor,136731.72,Professor
Professor,136349.04,Professor
Professor,136221.24,Professor
Professor,136158.0,Professor
Professor,135712.44,Professor
Professor,135675.72,Professor
Professor,135331.2,Professor
Asst Vice Provost,135304.08,Provost
Assoc Professor,135187.68,Assoc Professor
Asst Vice Provost,135150.0,Provost
Assoc Dean,135000.0,Dean
Assoc Professor,134889.48,Assoc Professor
Professor,134867.16,Professor
Assoc Professor,134389.92,Assoc Professor
Professor,134362.2,Professor
Assoc Professor,134120.76,Assoc Professor
Professor,133737.6,Professor
Assoc Professor - Clin Geo,133736.0,Assoc Professor
Professor,133720.2,Professor
Assoc Professor,133520.52,Assoc Professor
Assoc Professor,133432.68,Assoc Professor
Professor,133358.28,Professor
Asst Professor - Clin Geo,133333.0,Asst Professor
Asst Professor - Clin Geo,133000.0,Asst Professor
Professor,132905.04,Professor
Professor - Geo,132870.0,Professor
Professor,132815.98,Professor
Assoc Professor,132787.44,Assoc Professor
Asst VP UCIT,132600.0,Vice President
Dir Academic,132489.68,Director Academic
Professor,132419.76,Professor
Professor,132211.92,Professor
Professor,132049.8,Professor
Assoc Professor,131983.44,Assoc Professor
Professor,131816.64,Professor
Professor,131712.84,Professor
Professor,131575.2,Professor
Assoc Professor - Clin,131335.68,Assoc Professor
Professor,131128.92,Professor
Professor - Educator,131100.84,Professor
Professor,130833.96,Professor
Professor - Emeritus COM,130769.23,Professor
Professor,130740.48,Professor
Professor,130727.88,Professor
Professor,130666.92,Professor
Professor,130664.28,Professor
Assoc Dean,130150.56,Dean
Professor,130137.72,Professor
Professor,130123.56,Professor
Assoc Professor - Clin,130059.48,Assoc Professor
Professor,130055.4,Professor
Professor - Geo,130018.84,Professor
Asst Coach Major Sports,130000.0,Coach
Asst Vice Provost,130000.0,Provost
Assoc Professor,129955.44,Assoc Professor
Asst Dean,129891.84,Dean
Assoc Professor - Clin,129865.44,Assoc Professor
Professor,129757.08,Professor
Professor,129544.2,Professor
Professor,129289.56,Professor
Assoc Professor,129067.56,Assoc Professor
Professor,128940.84,Professor
Professor,128826.24,Professor
Professor - Adj COM,128750.04,Professor
Professor,128669.28,Professor
Asst Professor - Educator,128634.48,Asst Professor
Assoc Professor,128626.2,Assoc Professor
Professor,128565.24,Professor
Professor,128460.6,Professor
Professor,128409.96,Professor
Assoc Professor,128319.48,Assoc Professor
Assoc Professor,128292.0,Assoc Professor
Professor,128254.08,Professor
Professor,128243.28,Professor
Assoc Professor,128208.96,Assoc Professor
Professor,128140.8,Professor
Asst Professor,127952.52,Asst Professor
Assoc Professor,127689.84,Assoc Professor
Asst Dean,127500.0,Dean
Assoc Dean - COM,127500.0,Dean
Assoc Dean,127500.0,Dean
Professor,127497.12,Professor
Professor,127383.48,Professor
Professor,127345.91,Professor
Assoc Professor,127159.08,Assoc Professor
Professor,127143.24,Professor
Professor,126957.48,Professor
Professor,126738.96,Professor
Professor,126513.36,Professor
Assoc Professor,126194.76,Assoc Professor
Assoc Professor,126113.4,Assoc Professor
Asst Professor - Research,125953.32,Asst Professor
Assoc Professor - Clin,125653.8,Assoc Professor
Professor,125621.52,Professor
Asst Dean,125460.0,Dean
Professor,125455.32,Professor
Sr Asst Dean,125289.84,Dean
Asst Professor - Clin Geo,125212.0,Asst Professor
Assoc Professor,124949.88,Assoc Professor
Professor,124917.48,Professor
Asst VP Office of Budget Mgmt,124848.0,Vice President
Sr Asst Dean,124848.0,Dean
Assoc Professor - Research,124751.88,Assoc Professor
Professor,124685.29,Professor
Assoc Professor - Research,124435.8,Assoc Professor
Professor,124356.96,Professor
Professor,124339.8,Professor
Professor,124305.48,Professor
Professor,124245.84,Professor
Professor,124215.24,Professor
Assoc Professor - Educator,124155.36,Assoc Professor
Professor,124063.56,Professor
Professor,124029.0,Professor
Interim Assoc Dean,123669.24,Dean
Dir Academic,123468.36,Director Academic
Professor,123353.64,Professor
Professor,123345.12,Professor
Professor,123278.88,Professor
