DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
2,65XX KENNEDY AV,39.1882358323059,-84.4139549099537,KENNEDY HEIGHTS,KENNEDY HEIGHTS,2898,159003809,1,"CINTI., OH 45202",BLACK,MALE,29,NONFATAL,02/14/2015 12:00:00 AM,FEB,120000,12,SAT,159003809,02/14/2015 12:00:00 PM,DISTRICT 2,45213,KENNEDY HEIGHTS
4,39XX VINE ST,39.1592672257003,-84.5056959165804,NORTH AVONDALE,CLIFTON,3827,179004414,1,,WHITE,FEMALE,47,FATAL,02/16/2017 12:00:00 AM,FEB,142100,14,THU,179004414,02/16/2017 02:21:00 PM,DISTRICT 4,,CLIFTON
3,20XX HARRISON AV,39.1331776412117,-84.565002091116,SOUTH FAIRMOUNT,NORTH FAIRMOUNT,3063,159015144,1,"CINCINNATI, OH 45211",WHITE,MALE,35,NONFATAL,06/14/2015 12:00:00 AM,JUN,091800,9,SUN,159015144,06/14/2015 09:18:00 AM,DISTRICT 3,45214,SOUTH FAIRMOUNT
4,35XX READING RD,39.1457248727991,-84.4912167872169,AVONDALE,AVONDALE,2447,139029988,1,"CINC, OH 45229",BLACK,MALE,27,NONFATAL,11/01/2013 12:00:00 AM,NOV,155000,15,FRI,139029988,11/01/2013 03:50:00 PM,DISTRICT 4,45229,AVONDALE
4,21XX HIGHLAND AV,39.1192566758116,-84.504805158901,MT AUBURN,MT. AUBURN,2787,149025824,1,"CINC, OH 45237",BLACK,MALE,30,NONFATAL,10/10/2014 12:00:00 AM,OCT,150600,15,FRI,149025824,10/10/2014 03:06:00 PM,DISTRICT 4,45219,MOUNT AUBURN
1,7XX DERRICK TURNBOW AV,39.1120966769632,-84.5269575949143,WEST END,WEST END,3398,169005097,1,"CINCINNATI, OH 45214",BLACK,MALE,46,FATAL,03/05/2016 12:00:00 AM,MAR,022300,2,SAT,169005097,03/05/2016 02:23:00 AM,DISTRICT 1,,WEST END
3,35XX MCHENRY AV,39.1508314590554,-84.5661246576054,EAST WESTWOOD,EAST WESTWOOD,3420,169006992,1,"CINCINNATI, OH 45215",BLACK,MALE,27,NONFATAL,03/26/2016 12:00:00 AM,MAR,160000,16,SAT,169006992,03/26/2016 04:00:00 PM,DISTRICT 3,,EAST WESTWOOD
1,13XX WALNUT ST,39.109359707838,-84.512680481078,OVER-THE-RHINE,OVER-THE-RHINE,2300,139017737,3,"CINC, OH 45202",BLACK,MALE,32,NONFATAL,07/10/2013 12:00:00 AM,JUL,032300,3,WED,139017737,07/10/2013 03:23:00 AM,DISTRICT 1,45202,OTR
1,16XX HAMER ST,39.114879450221,-84.5159832109365,OVER-THE-RHINE,OVER-THE-RHINE,2539,149004260,1,"CINCINNATI, OH 45231",BLACK,MALE,35,NONFATAL,02/26/2014 12:00:00 AM,FEB,231500,23,WED,149004260,02/26/2014 11:15:00 PM,DISTRICT 1,45202,OTR
1,13XX LINN ST,39.1099848086772,-84.5269081790405,WEST END,WEST END,3178,159023423,1,"CINCINNATI, OH 45205",BLACK,MALE,25,NONFATAL,08/30/2015 12:00:00 AM,AUG,001500,0,SUN,159023423,08/30/2015 12:15:00 AM,DISTRICT 1,45203,WEST END
4,37XX READING RD,39.1514603490311,-84.4858756488407,NORTH AVONDALE,AVONDALE,2524,149002759,1,"CINC, OH 45229",BLACK,MALE,52,NONFATAL,02/05/2014 12:00:00 AM,FEB,163100,16,WED,149002759,02/05/2014 04:31:00 PM,DISTRICT 4,45229,AVONDALE - NORTH AVONDALE
