czname,state,county,cz,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc2016,med_hhinc1990,poor_share2010,poor_share2000,poor_share1990,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,nonwhite_share2010,popdensity2010,popdensity2000,ann_avg_job_growth_2004_2013,job_density_2013,state_name,alpha,remark
Aberdeen,46.0,62.2,26605.0,55545.9554,16.500034799999998,0.155410372,0.182804096,0.00997982928,51414.930062365005,19582.35181705923,0.146436644,0.1539765214,0.197948542,0.00386757118,0.0113346762,0.002686534554,0.0018045766859999999,0.9793169159999999,0.00393586148,0.001475406362,3.399659525,577.657606,0.1625185254,0.1102820162,0.1530005,0.637819846,0.579689074,86.84179400000001,0.324990895,0.03555925359999999,6.75567968,6.95591084,-0.001180254996,3.5982930619999998,South Dakota ,SD ,State; counties
West Point,31.0,77.66666666666667,28002.0,56358.006666666675,20.556645,0.12809325,0.15670550000000003,0.02608465963333333,46888.37940961203,20418.082070960474,0.17120230266666667,0.145499717,0.184849835,0.004594490566666667,0.04275126066666667,0.0015448655533333332,0.0021949084000000003,0.7848623,0.030528419666666664,0.0014468231633333335,1.9076802566666664,560.1020933333333,0.26418928,0.19409161,0.25086257333333334,0.55304732,0.6054612766666666,87.62546950000001,0.13705567,0.24986483233333331,15.866549666666666,17.316386666666666,-0.004859531133333333,7.606377466666667,Nebraska ,NE ,State; counties
York,31.0,129.0,27902.0,62645.67733333333,16.998446,0.15457377666666666,0.18423918333333333,0.014600752866666665,54693.83693793153,25056.291111321207,0.085962523,0.073273779,0.07882081966666667,0.007151082366666668,0.033230749,0.0021758509166666666,0.005068600416666667,0.9720374933333334,0.013882159,0.0025736521,3.4170501000000004,570.6548666666666,0.23141173666666667,0.103731611,0.1624563933333333,0.5711868999999999,0.6321912,87.37176233333332,,0.05183152866666666,15.479401666666666,16.630831,-0.0036984519,8.276044599999999,Nebraska ,NE ,State; counties
Alamogordo,35.0,31.0,30602.0,59969.3125,21.999019500000003,0.19457911,0.20653451500000003,0.0930810485,40449.49957095535,21429.005623290566,0.16751580500000002,0.17466631,0.19093093,0.0227775254,0.32167187500000005,0.0069291651,0.020902167399999998,0.632747025,0.28988841,0.00569987005,2.4409798,695.95355,0.327330915,0.214801535,0.296708745,0.46152469500000004,0.511787655,69.557823,0.11047552,0.40399973499999997,6.9448153999999995,6.7190847499999995,-0.01759100345,2.63945265,New Mexico ,NM ,State; counties
Albuquerque,35.0,33.6,34901.0,63968.1242,29.6776458,0.187011232,0.19970611000000002,0.075796835,45036.28997173067,24233.688498569718,0.17559691800000002,0.167624364,0.196182152,0.0189095178,0.43347746200000004,0.00948841798,0.0181241128,0.44386931599999996,0.39886795799999997,0.007901942139999998,2.42521712,732.6007940000001,0.383710516,0.222521904,0.318263604,0.30211405,0.562619448,70.6910826,-0.014208006999999998,0.5946320720000001,137.78768032,115.23821579999999,-0.010510307700000002,60.33565164,New Mexico ,NM ,State; counties
Clayton,35.0,59.0,34804.0,51841.023,19.781797,0.12993538,0.17812499,0.031677302000000004,36420.0,18379.76721629486,0.09805714300000001,0.18127106,0.20990391,0.019344911,0.39679050000000005,0.0050560562,0.00071873504,0.6272161,0.35098228,0.0033540968,2.9533935000000002,635.0,0.38732395,0.21597096,0.24489796,0.70671177,0.59917748,71.900002,-0.024587132,0.43965709,1.1896718000000002,1.0916003,-0.0058226767,0.46525082,New Mexico ,NM ,State; counties
Deming,35.0,23.0,30604.0,48730.853,20.311471333333333,0.13678837000000002,0.17513316666666667,0.100979619,33717.88050562732,20096.565013658026,0.23630164666666667,0.2624704,0.24878398999999998,0.007290634666666667,0.5544229566666666,0.004277273400000001,0.005731843166666667,0.43758442000000003,0.5403930966666667,0.0025702544,1.9594892333333334,544.0186199999999,0.4614144666666667,0.24547522333333335,0.32476867000000004,0.5805526266666666,0.4554186466666667,74.21259833333333,0.018372735,0.5804323933333334,5.779050433333334,5.996043966666666,-0.0043179920000000005,2.2310749033333335,New Mexico ,NM ,State; counties
Roswell,35.0,10.0,30701.0,57661.043,18.8098335,0.14361158499999999,0.14788869,0.0830299405,51757.67406509792,23176.391618810685,0.175039845,0.192553865,0.21222657,0.0164688355,0.48045692,0.00566683665,0.017057951000000002,0.55043489,0.41161804,0.00426206275,3.0569305,729.2693750000001,0.3609522,0.2363208,0.31494514500000004,0.548933,0.517906725,74.148865,0.18507906500000001,0.519516785,11.857010500000001,11.245563,0.01026005755,5.21862245,New Mexico ,NM ,State; counties
Santa Fe,35.0,42.75,34802.0,79880.9575,23.40295975,0.3411020025,0.3698730725,0.0771677485,58527.57024590544,30628.100912750564,0.13447686425,0.1406060245,0.1746651125,0.006752558225,0.48127862,0.018757125524999998,0.004961503149999999,0.43469904249999997,0.4794789925,0.01208029435,2.7751339500000003,817.9152674999999,0.386329575,0.24469751499999998,0.32698039,0.387454845,0.6100232775,73.686802,0.08135444375,0.5768522425,65.43762079999999,64.094111025,-0.020836578799999998,30.133846325,New Mexico ,NM ,State; counties
Socorro,35.0,28.0,34902.0,47269.445,22.830257500000002,0.188979045,0.22059218,0.056844447,36522.112448225686,18753.542568378787,0.210106935,0.28118737,0.27814764000000003,0.0080521959,0.33763951000000003,0.006676751799999999,0.0053805462,0.5675929749999999,0.33893083,0.00897064615,2.1144199,507.41978500000005,0.43401295,0.192525915,0.310182245,0.49081115,0.47776751000000006,52.4198375,-0.13109811,0.432050945,1.6129836599999998,1.615788235,-0.0272229845,0.542285145,New Mexico ,NM ,State; counties
Truth or Consequences,35.0,51.0,30603.0,46707.937999999995,19.586737,0.13184923,0.16886996,0.029831309,31166.32273940607,16494.94809300806,0.22756238,0.20904189,0.19257632,0.0051718387,0.27961293,0.0037537538,0.0045926152000000005,0.70472342,0.26332656,0.0014246617,2.5435531000000005,560.18738,0.52590489,0.26934552,0.32959074,0.68581784,0.40728000000000003,69.688324,,0.31556556,2.8686585,3.1754336,-0.037203923,0.86145902,New Mexico ,NM ,State; counties
Tucumcari,35.0,29.0,34803.0,50678.3885,18.233227499999998,0.15892408,0.16609063000000002,0.03029685,31398.30721159164,18821.10911545353,0.20040404,0.18588426,0.20043127,0.007632854400000001,0.427141995,0.008968403599999999,0.0061799979,0.55738354,0.41451439,0.0081473021,2.2140007,474.96742000000006,0.268808865,0.1550493815,0.24620497000000002,0.6733526000000001,0.520964295,77.1340565,0.07339918,0.4506484,1.7361993549999999,1.957035615,-0.0277547635,0.596445155,New Mexico ,NM ,State; counties
Alamosa,8.0,56.666666666666664,34805.0,52976.416,20.0252795,0.2063527483333333,0.226714465,0.064617563,37340.43078139009,17304.85320569752,0.19757721883333332,0.19698318833333336,0.264813785,0.0049371130333333325,0.4226117436666667,0.0051437501666666665,0.00397018885,0.5505327916666666,0.4191047618333333,0.004876954899999999,3.45750625,597.344824,0.31124915000000003,0.19562344133333331,0.2725935433333333,0.49962800666666657,0.5445446666666667,71.39283483333332,-0.10014538592500001,0.4516950413333334,7.756275048333333,7.774305875,-0.011339386550000002,3.1868456,Colorado ,CO ,State; counties
Colorado Springs,8.0,57.5,28401.0,76842.71299999999,27.36344425,0.262223015,0.2789822475,0.04133067925,54124.84030791794,26306.15251619739,0.12688651025,0.09267718775,0.13674492825,0.033148053350000005,0.09404291399999999,0.009903208525,0.0343323448,0.8638278549999999,0.06699212825,0.00886621875,4.15531595,814.4572625000001,0.30638611000000004,0.1738904925,0.22632269500000002,0.35703524249999996,0.57884007,77.71834375,-0.015389845466666668,0.16264166875,92.70067900000001,78.695681525,-0.0105526487,40.8480882,Colorado ,CO ,State; counties
Denver,8.0,32.36363636363637,28900.0,102806.242,32.63543018181818,0.35831967090909095,0.3906231036363637,0.08223129336363637,76798.7906043241,37666.762271293606,0.09350592463636363,0.06120374327272727,0.08307968236363637,0.031220886427272724,0.1403065860909091,0.023332531600000005,0.02826224141818182,0.8237632027272728,0.10757290209090908,0.0178046372,3.8579827727272726,1081.4455099999998,0.25496762181818183,0.1947938627272727,0.22225021181818186,0.2250323518181818,0.720346028181818,80.129255,0.022728186255555553,0.21994152581818183,754.7120549363636,651.8264466181818,0.007953850074545453,413.77227357272733,Colorado ,CO ,State; counties
Fort Collins,8.0,93.0,28800.0,78551.38833333334,22.612276999999995,0.2527383733333333,0.2799533033333333,0.09471230033333333,59647.2453052141,27799.984478310536,0.14219668,0.10649038966666667,0.13562097666666667,0.017485507333333334,0.24221870666666667,0.009681561733333333,0.0057591577,0.7578799100000001,0.21250024,0.007453673600000001,3.7376655333333333,842.21513,0.2685774166666666,0.18242554,0.22281979333333332,0.4316480966666667,0.6519679633333334,79.307261,0.08537587633333332,0.2876470766666667,66.94006133333333,54.489318000000004,0.010628696876666668,35.49228133333333,Colorado ,CO ,State; counties
Glenwood Springs,8.0,72.2,28702.0,99308.3184,25.998532599999997,0.37677926800000006,0.397582172,0.15096284399999998,66670.50699807706,33133.311827839854,0.111355338,0.0859087998,0.088236863,0.00698094192,0.2416846164,0.00704167708,0.004467824519999999,0.7887783300000001,0.1842251092,0.0058355531999999995,3.5917423399999997,1184.300358,0.230891624,0.17460940200000002,0.22363947199999998,0.42704258400000006,0.7538907060000001,70.10909740000001,0.04236470800000001,0.270419136,26.638518999999995,22.8683574,0.010727591162,15.80452972,Colorado ,CO ,State; counties
Granby,8.0,49.0,28703.0,87887.18,22.722148999999998,0.34846178,0.30179122,0.046711579,66098.7745738732,30730.96702831998,0.064846963,0.073170334,0.09118787199999999,0.0057266052,0.07518696,0.0064773196,0.006274351899999999,0.93228698,0.041504771,0.0054938402,4.3797574,933.7575099999999,0.28354797,0.17141439,0.21515264,0.48045617,0.74715418,77.423592,-0.0042726332,0.10307889,8.0391912,6.7387738,0.001559601,4.4721150000000005,Colorado ,CO ,State; counties
Grand Junction,8.0,79.0,35201.0,75280.0324,22.0517136,0.284472124,0.310103254,0.0550681286,52028.94214342453,25164.533228146127,0.10937402839999999,0.103668187,0.13587706659999998,0.00586942184,0.12006480979999998,0.005292670500000001,0.00385590882,0.877737404,0.0942338412,0.00419895728,3.51386966,840.90421,0.240238342,0.192860274,0.252580284,0.460760534,0.6288570520000001,75.95173179999999,0.131628798,0.148984602,20.70161192,17.249784639999998,-0.0098089661,9.22012628,Colorado ,CO ,State; counties
Gunnison,8.0,52.0,35202.0,75367.5,17.395397000000003,0.39228927,0.43670429,0.040259716,52102.93947402767,25197.271462942525,0.0754614835,0.1132587645,0.1485147,0.005543255,0.0551837135,0.0044642236,0.0033715993,0.9451964799999999,0.032211506,0.0036591772500000003,3.24478185,829.5651849999999,0.224550535,0.16770422999999998,0.24881441999999998,0.82790217,0.695202705,75.64148349999999,0.5116532300000001,0.08816701399999999,2.742737825,2.5078492,-0.014122658200000002,1.590327725,Colorado ,CO ,State; counties
Limon,8.0,73.0,28402.0,60811.746,18.474188,0.13240439,0.15251108,0.046913795,40301.21254801536,20653.17564408489,0.12658517,0.11407037,0.17574848,0.053777207,0.12493141,0.0028782319,0.051256735,0.84139442,0.08562918,0.0024577901,4.0424609,,0.34259483,0.17813136,0.24940619,0.58327526,0.51193523,77.508812,,0.20523137,2.1209438,2.3614752,-0.041920457,0.76892453,Colorado ,CO ,State; counties
Pueblo,8.0,65.0,28502.0,56241.5992,19.9532516,0.13888678200000001,0.159301084,0.055580581000000004,37932.54025622228,19830.90056506035,0.21241208,0.18071816999999998,0.215215712,0.04130570596000001,0.352803276,0.005866327520000001,0.02701526206,0.630597472,0.315400114,0.00510086434,3.8904297,621.696766,0.36082875799999997,0.23794980599999999,0.30510204399999996,0.530088534,0.496973908,77.79759220000001,-0.038077273499999995,0.41970880200000005,20.61598342,19.42075426,-0.02144739166,7.896715519999999,Colorado ,CO ,State; counties
Salida,8.0,15.0,28701.0,67636.945,16.553625,0.24697325,0.32752493,0.030914679,51147.503284855964,22134.3301006255,0.11629666,0.11191713,0.13813707,0.016452355,0.094222024,0.0051768455,0.017323794,0.87486786,0.083210737,0.0033711761,3.5936515,801.32507,0.28566945,0.18117154,0.22825088,0.64664179,0.50263339,82.35985600000001,0.088277601,0.13431410000000002,17.573463,16.032958999999998,0.0025569911,7.6869712,Colorado ,CO ,State; counties
Steamboat Springs,8.0,97.0,36401.0,76117.09766666667,20.979170333333332,0.2482059,0.27742890000000003,0.05327251066666667,57909.55420899749,31184.047347383468,0.084006684,0.07969308233333333,0.115545465,0.007513450333333334,0.10390391433333333,0.004384551266666667,0.003086082633333333,0.9191435366666667,0.058393938,0.002768968933333333,3.7001901333333342,814.7770899999999,0.26235622666666664,0.17207789000000004,0.2354016666666667,0.5340252833333333,0.6903676166666667,74.95194466666668,-0.020716619000000002,0.134265339,4.9769337,4.324679,-0.010467872006666665,2.7095879333333333,Colorado ,CO ,State; counties
Sterling,8.0,104.0,28301.0,61106.294,17.35571525,0.15962166,0.17445064999999998,0.07771115575,44931.04107829776,21522.84295974272,0.11242894899999999,0.12059124,0.1436393625,0.014272275225,0.158918394,0.0034539741499999997,0.0086261273975,0.8708433649999999,0.10837083775,0.002238074235,4.05704635,615.7268675,0.24687056000000002,0.15546718499999998,0.19208496749999998,0.56726568,0.6028110525,81.52056875,,0.18772107,6.24201475,5.945756900000001,-0.0134205820975,2.8477804549999997,Colorado ,CO ,State; counties
Trinidad,8.0,63.0,28503.0,53373.9785,21.3368405,0.16620011499999998,0.22569991,0.039636410999999996,39401.32752271394,15634.733634638049,0.191791455,0.17499476,0.260516095,0.00961889895,0.38426839,0.00447652835,0.015010087250000002,0.58629742,0.36581592500000004,0.0022653811499999997,3.2664701999999997,609.191345,0.310454175,0.23257553,0.320654825,0.519189565,0.489340545,72.090668,0.024739953,0.41991845000000005,3.7336126499999995,4.06390575,-0.030247674999999998,1.31598695,Colorado ,CO ,State; counties
Alexandria,22.0,43.666666666666664,3600.0,54737.71066666666,28.716268333333332,0.11565743899999999,0.13689807,0.0173771735,39683.34104857612,18307.80387988835,0.18588481999999998,0.21899990666666666,0.27280663,0.26305518333333333,0.027368550666666668,0.004682150833333333,0.2244538663333333,0.74378504,0.011840647066666668,0.0033246483666666666,2.229400066666667,643.28898,0.3948869033333333,0.2345343166666667,0.3266244333333333,0.3044911666666667,0.5012176899999999,73.711614,0.14600319566666667,0.31301105,61.69894566666667,58.255625333333334,0.0008179769343333335,23.31984233333333,Louisiana ,LA ,State; parishes
